series,n_events,n_markets,markets_live,markets_hist,ok,empty,not_found,error,candles,first_candle,last_candle,discovery_complete,merge_conflicts
KXMARCELLUSGAS,1,6,6,0,6,0,0,0,14791,2026-08-18T01:00:00+00:00,2026-09-10T16:12:07+00:00,True,0
KXMEXCUBOIL,1,4,3,1,4,0,0,0,22287,2026-03-07T15:00:00+00:00,2026-09-10T16:12:18+00:00,True,0
KXMSCOTTON,1,6,6,0,6,0,0,0,10267,2026-08-18T20:00:00+00:00,2026-09-10T16:12:42+00:00,True,0
KXMTCATTLE,1,1,1,0,1,0,0,0,1238,2026-08-18T19:00:00+00:00,2026-09-10T16:12:53+00:00,True,0
KXNDKOIL,1,1,1,0,1,0,0,0,3782,2026-08-18T18:00:00+00:00,2026-09-10T16:12:55+00:00,True,0
KXNECOF,1,1,1,0,1,0,0,0,2169,2026-08-18T19:00:00+00:00,2026-09-10T16:12:59+00:00,True,0
KXNECORNYIELD,1,5,5,0,5,0,0,0,8671,2026-08-18T19:00:00+00:00,2026-09-10T16:13:01+00:00,True,0
KXNGAS,4,16,0,16,16,0,0,0,55612,2022-03-03T15:00:00+00:00,2022-08-17T17:59:00+00:00,True,0
KXNGASMAX,5,21,7,14,21,0,0,0,207483,2022-12-13T15:00:00+00:00,2026-09-10T16:13:46+00:00,True,0
KXNGASMIN,3,14,5,9,14,0,0,0,55685,2022-12-13T15:00:00+00:00,2026-09-10T16:20:38+00:00,True,0
KXNGASW,5,13,0,13,13,0,0,0,9744,2022-07-14T14:00:00+00:00,2022-08-24T17:59:00+00:00,True,0
KXNICKELMON,1,40,0,40,40,0,0,0,165362,2026-04-03T17:40:00+00:00,2026-04-30T21:00:00+00:00,True,0
KXNICKELW,4,170,0,170,170,0,0,0,140332,2026-04-03T21:00:00+00:00,2026-05-01T21:00:00+00:00,True,0
KXNMCOIL,1,1,1,0,1,0,0,0,7128,2026-08-18T18:00:00+00:00,2026-09-10T16:26:28+00:00,True,0
KXOIL,10,28,0,28,28,0,0,0,225762,2022-03-01T15:00:00+00:00,2022-08-17T20:59:00+00:00,True,0
KXOILRIGS,2,23,12,11,23,0,0,0,144303,2025-03-19T14:00:00+00:00,2026-09-10T16:27:38+00:00,True,0
KXOILW,15,30,0,30,30,0,0,0,21969,2022-03-01T15:00:00+00:00,2022-08-24T20:59:00+00:00,True,0
KXOKOIL,1,1,1,0,1,0,0,0,1716,2026-08-18T16:00:00+00:00,2026-09-10T16:32:59+00:00,True,0
KXOPECCUTS,1,1,0,1,1,0,0,0,19734,2025-06-18T20:45:00+00:00,2026-01-01T04:59:00+00:00,True,0
KXOPUS48OY,1,4,4,0,4,0,0,0,14048,2026-06-08T19:00:00+00:00,2026-09-10T16:33:19+00:00,True,0
KXOPUS48Y,1,4,4,0,4,0,0,0,3498,2026-06-04T01:00:00+00:00,2026-09-10T16:33:47+00:00,True,0
KXPAGAS,1,1,1,0,1,0,0,0,5316,2026-08-18T16:00:00+00:00,2026-09-10T16:34:15+00:00,True,0
KXPJMEMERGENCY,1,6,6,0,6,0,0,0,33944,2026-08-18T16:00:00+00:00,2026-09-10T16:34:19+00:00,True,0
KXPOWERKWH,4,31,25,6,31,0,0,0,104237,2026-06-08T19:00:00+00:00,2026-09-10T16:34:30+00:00,True,0
KXRIRESPOWER,1,7,7,0,7,0,0,0,13636,2026-08-18T16:00:00+00:00,2026-09-10T16:35:25+00:00,True,0
KXRUCRUDEX,1,1,0,1,1,0,0,0,3711,2026-03-26T14:00:00+00:00,2026-05-13T07:59:00+00:00,True,0
KXSDCATTLE,1,1,1,0,1,0,0,0,1438,2026-08-18T16:00:00+00:00,2026-09-10T16:35:43+00:00,True,0
KXSDCORNYIELD,1,8,8,0,8,0,0,0,14668,2026-08-18T16:00:00+00:00,2026-09-10T16:35:45+00:00,True,0
KXSOLAR,2,10,5,5,10,0,0,0,124756,2024-12-20T15:00:00+00:00,2026-09-10T16:35:59+00:00,True,0
KXSOYBEANMON,1,20,0,20,20,0,0,0,101064,2026-04-01T18:22:00+00:00,2026-04-30T21:00:00+00:00,True,0
KXSOYBEANW,4,120,0,120,120,0,0,0,122543,2026-04-03T21:00:00+00:00,2026-05-01T18:20:00+00:00,True,0
KXSPRLVL,12,140,119,28,140,0,0,0,95996,2026-03-03T18:00:00+00:00,2026-09-10T15:55:00+00:00,True,0
KXSPRMIN,2,2,0,2,2,0,0,0,19534,2024-04-16T21:00:00+00:00,2026-01-01T05:25:04+00:00,True,0
KXSPRUSE,1,3,0,3,3,0,0,0,7770,2025-06-17T20:45:00+00:00,2025-09-01T03:59:00+00:00,True,0
KXSTEELMON,0,80,40,40,40,40,0,0,40,2026-03-05T07:31:00+00:00,2026-03-06T00:45:17+00:00,True,0
KXSTEELW,0,80,80,0,0,80,0,0,0,,,True,0
KXSUGARMON,1,34,0,34,34,0,0,0,134021,2026-04-01T18:22:00+00:00,2026-04-30T21:00:00+00:00,True,0
KXSUGARW,4,116,0,116,116,0,0,0,123844,2026-04-03T21:00:00+00:00,2026-05-01T21:00:00+00:00,True,0
KXTRUFGAS,11,165,15,150,165,0,0,0,24667,2026-06-01T00:10:00+00:00,2026-08-01T03:59:00+00:00,True,0
KXTXERCOTPEAK,1,7,7,0,7,0,0,0,30533,2026-08-18T03:00:00+00:00,2026-09-10T16:49:44+00:00,True,0
KXTXERCOTPEAKD,14,175,175,0,175,0,0,0,25714,2026-08-28T04:55:00+00:00,2026-09-10T16:49:56+00:00,True,0
KXTXOIL,1,4,4,0,4,0,0,0,40952,2026-08-18T16:00:00+00:00,2026-09-10T16:50:41+00:00,True,0
KXUSGASCPI,6,129,75,54,129,0,0,0,307392,2026-03-23T19:00:00+00:00,2026-09-10T16:50:49+00:00,True,0
KXVENEZCRUDE,1,8,8,0,8,0,0,0,7607,2026-09-02T21:00:00+00:00,2026-09-10T16:56:26+00:00,True,0
KXVERARELEASE,1,6,6,0,6,0,0,0,1956,2026-07-22T17:00:00+00:00,2026-09-10T16:56:33+00:00,True,0
KXWHEAT,1,1,0,1,1,0,0,0,31,2022-04-01T14:00:00+00:00,2022-04-08T15:55:00+00:00,True,0
KXWHEATMON,1,24,0,24,24,0,0,0,116986,2026-04-01T18:22:00+00:00,2026-04-30T21:00:00+00:00,True,0
KXWHEATW,3,92,0,92,92,0,0,0,112115,2026-04-03T21:00:00+00:00,2026-05-01T18:20:00+00:00,True,0
KXWICORNYIELD,1,9,9,0,9,0,0,0,13688,2026-08-17T22:00:00+00:00,2026-09-10T16:58:44+00:00,True,0
KXWVCOAL,1,7,7,0,7,0,0,0,12178,2026-08-18T01:00:00+00:00,2026-09-10T16:59:00+00:00,True,0
KXWYCOAL,1,8,8,0,8,0,0,0,12914,2026-08-17T22:00:00+00:00,2026-09-10T16:59:10+00:00,True,0
